Paper,DOI,Publication Year,Corresponding Author,Email,Physical Address,Analyte Polymer,Critical Component,Architecture,Critical Condition Basis,Column Name,Stationary Phase Chemistry,Column Mode,Pore Size,Column Dimensions,Mobile Phase Solvents,Mobile Phase Ratio,Mobile Phase Ratio Units,Aqueous pH,Aqueous Salt Added,Aqueous Salt Type,Aqueous Salt Concentration,Temperature (°C),Flow Rate,Detector,Consensus Confidence,Qwen Confidence,Mistral Confidence,Evidence: Critical Condition,Evidence: Critical Component,Evidence: Column Name,Evidence: Mobile Phase Solvents,Evidence: Mobile Phase Ratio,Evidence: Temperature,Evidence: Pore Size,Evidence: Flow Rate,Notes
[201] Ahmed2009.pdf,10.1016/j.eurpolymj.2009.05.001,2009,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Central Polymer Lab–Molecular Characteristics (CePOL/MC), Heinrichstrasse 28, A-8010 Graz, Austria",PEG-MME 2000,EO block,linear,At the CAP for PEG on a normal phase column,Nucleosil 100-5 OH,silica-based diol phase,Normal Phase,100 Å,250 x 4.6 mm,"acetone, water",77.01 wt-% acetone,wt-%,,False,,,25.0,0.5 ml/min,ELSD coupled with density detector,explicit,explicit,missed,At the CAP for PEG on a normal phase column,PEG-monomethyl ethers elute on the Nucleosil 100-5 OH column in 77.01 wt-% acetone at the CAP,Nucleosil 100-5 OH,acetone–water mobile phases,77.01 wt-% acetone,LCCC measurements were performed at a temperature of 25.0 °C,nominal pore size = 100 Å,flow rate of 0.5 ml/min,Used to analyze EO-CL block copolymers where EO is at CAP and CL elutes in SEC mode.
[201] Ahmed2009.pdf,10.1016/j.eurpolymj.2009.05.001,2009,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Central Polymer Lab–Molecular Characteristics (CePOL/MC), Heinrichstrasse 28, A-8010 Graz, Austria",PEG-MME 5000,EO block,linear,At the CAP for PEG on a normal phase column,Nucleosil 100-5 OH,silica-based diol phase,Normal Phase,100 Å,250 x 4.6 mm,"acetone, water",77.01 wt-% acetone,wt-%,,False,,,25.0,0.5 ml/min,ELSD coupled with density detector,explicit,explicit,missed,At the CAP for PEG on a normal phase column,PEG-monomethyl ethers elute on the Nucleosil 100-5 OH column in 77.01 wt-% acetone at the CAP,Nucleosil 100-5 OH,acetone–water mobile phases,77.01 wt-% acetone,LCCC measurements were performed at a temperature of 25.0 °C,nominal pore size = 100 Å,flow rate of 0.5 ml/min,Used to analyze EO-CL block copolymers where EO is at CAP and CL elutes in SEC mode.
[201] Ahmed2009.pdf,10.1016/j.eurpolymj.2009.05.001,2009,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Central Polymer Lab–Molecular Characteristics (CePOL/MC), Heinrichstrasse 28, A-8010 Graz, Austria",PCL-ME,CL block,linear,critical conditions for PCL on a reversed phase column,Jordi Gel DVB 500 RP,poly(divinylbenzene),Reversed Phase,500 Å,250 x 4.6 mm,"THF, water",80.98 wt-% THF,wt-%,,False,,,25.0,0.5 ml/min,ELSD coupled with density detector,explicit,explicit,missed,find critical conditions for PCL on a reversed phase column,"PCL-MEs elute at 2.8 mL, regardless their degree of polymerization",Jordi Gel DVB 500 RP,THF water,80.98 wt-% THF,LCCC measurements were performed at a temperature of 25.0 °C,nominal pore size = 500 Å,flow rate of 0.5 ml/min,Used to analyze EO-CL block copolymers where CL is at CAP and EO elutes in SEC mode.
[201] Ahmed2009.pdf,10.1016/j.eurpolymj.2009.05.001,2009,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Central Polymer Lab–Molecular Characteristics (CePOL/MC), Heinrichstrasse 28, A-8010 Graz, Austria",poly(ethylene glycol)-b-poly(e-caprolactone),poly(ethylene glycol),linear,LCCC,Nucleosil 100-5 OH,diol,Normal Phase,100 Å,250 × 4.6 mm,acetone,77.01 wt-%,wt-%,,False,,,25.0,0.5 ml/min,ELSD,explicit,missed,explicit,At the CAP for PEG on a normal phase column PPG elutes in SEC mode,At the CAP for EO on the NP column one can also expect CL to elute in SEC mode,Nucleosil 100-5 OH column,acetone,77.01 wt-%,25.0 °C,100 Å,0.5 ml/min,
[201] Ahmed2009.pdf,10.1016/j.eurpolymj.2009.05.001,2009,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Central Polymer Lab–Molecular Characteristics (CePOL/MC), Heinrichstrasse 28, A-8010 Graz, Austria",poly(ethylene glycol)-b-poly(e-caprolactone),poly(e-caprolactone),linear,LCCC,Jordi Gel DVB 500 RP,poly(divinylbenzene),Reversed Phase,500 Å,250 × 4.6 mm,"tetrahydrofurane, water",80.98 wt-%,wt-%,,False,,,25.0,0.5 ml/min,ELSD,explicit,missed,explicit,At the CAP for CL on a reversed phase column EO elutes in SEC mode,At the CAP for CL on a reversed phase column EO elutes in SEC mode,Jordi Gel DVB 500 RP column,tetrahydrofurane–water,80.98 wt-%,25.0 °C,500 Å,0.5 ml/min,
[212] Cleaver2015.pdf,,,,,"Agilent Technologies, Inc.",polyethylene glycol (PEG),polyethylene glycol,linear,Critical point conditions for PEG were established by analyzing a series of PEG narrow standards of different molecular weights using different isocratic combinations of acetonitrile and water.,PLRP-S,Polymer-based reversed phase,Reversed Phase,100Å,150 x 4.6 mm,"Acetonitrile, Water",49% Acetonitrile in Water,% v/v,,False,,,,1.0 mL/min,Agilent ELSD,explicit,explicit,explicit,Critical point conditions for PEG were established by analyzing a series of PEG narrow standards of different molecular weights using different isocratic combinations of acetonitrile and water.,Critical point conditions for PEG were established by analyzing a series of PEG narrow standards of different molecular weights using different isocratic combinations of acetonitrile and water.,"Column: PLRP-S 100Å 5 µm, 150 x 4.6 mm (p/n PL1111-3500)",Eluent: 49% Acetonitrile in Water,Eluent: 49% Acetonitrile in Water,,"Column: PLRP-S 100Å 5 µm, 150 x 4.6 mm (p/n PL1111-3500)",Flow Rate: 1.0 mL/min,Used to analyze amine end-group modified PEG. The PEG backbone is chromatographically invisible.
[212] Cleaver2015.pdf,,,,,,poly(styrene-b-methyl methacrylate),polystyrene,block copolymer,Critical conditions were established for both polystyrene and polymethyl methacrylate by running narrow standards of varying molecular weight using different isocratic mixtures of solvents.,PLRP-S,Polymer-based reversed phase,Reversed Phase,100Å,150 x 4.6 mm,"Acetonitrile, Tetrahydrofuran (THF)",47% ACN in THF,% v/v,,False,,,,1.0 mL/min,Agilent ELSD,explicit,explicit,explicit,Critical conditions were established for both polystyrene and polymethyl methacrylate by running narrow standards of varying molecular weight using different isocratic mixtures of solvents.,Critical conditions were established for both polystyrene and polymethyl methacrylate by running narrow standards of varying molecular weight using different isocratic mixtures of solvents.,"Column: PLRP-S 100Å 5 µm, 150 x 4.6 mm (p/n PL1111-3500)",Eluent: 47% ACN in THF,Eluent: 47% ACN in THF,,"Column: PLRP-S 100Å 5 µm, 150 x 4.6 mm (p/n PL1111-3500)",Flow Rate: 1.0 mL/min,"The polystyrene block is 'chromatographically invisible' under these conditions, allowing analysis of the PMMA block."
[212] Cleaver2015.pdf,,,,,"Agilent Technologies, Inc.",poly(styrene-b-methyl methacrylate),polymethyl methacrylate,block copolymer,Critical conditions were established for both polystyrene and polymethyl methacrylate by running narrow standards of varying molecular weight using different isocratic mixtures of solvents.,PLRP-S,Polymer-based reversed phase,Reversed Phase,100Å,150 x 4.6 mm,"Acetonitrile, Water, Tetrahydrofuran (THF)","17% ACN, 17% Water, 66% THF",% v/v,,False,,,,1.0 mL/min,Agilent ELSD,explicit,explicit,explicit,Critical conditions were established for both polystyrene and polymethyl methacrylate by running narrow standards of varying molecular weight using different isocratic mixtures of solvents.,Critical conditions were established for both polystyrene and polymethyl methacrylate by running narrow standards of varying molecular weight using different isocratic mixtures of solvents.,"Column: PLRP-S 100Å 5 µm, 150 x 4.6 mm (p/n PL1111-3500)","Eluent: 17% ACN, 17% Water, 66% THF","Eluent: 17% ACN, 17% Water, 66% THF",,"Column: PLRP-S 100Å 5 µm, 150 x 4.6 mm (p/n PL1111-3500)",Flow Rate: 1.0 mL/min,"The PMMA block is 'chromatographically invisible' under these conditions, allowing analysis of the PS block."
[220] Grabowsky2011.pdf,,2011,Monika Elvira Grabowsky,,"Department of Chemistry and Polymer Science, Faculty of Science, Stellenbosch University",Polystyrene (PS),Polystyrene (PS),Linear,Established using PS calibration standards where elution is independent of molecular weight,Symmetry 300 Å,C18 modified silica,Reversed Phase,300 Å,4.6 x 250 mm,"Tetrahydrofuran (THF), N,N-dimethylformamide (DMF)",18:82,vol.%,,False,,,30,0.5 mL/min,UV-Vis and ELSD,explicit,explicit,explicit,The conditions used for the critical conditions of PS are as follows: a mobile phase composition of THF:DMF 18:82 vol.% with a flow rate of 0.5 mL/min. ... PS calibration standards were used to establish the critical conditions.,critical conditions of PS,Symmetry 300 Å,THF:DMF,THF:DMF 18:82 vol.%,30°C,300 Å,0.5 mL/min,Used for analysis of PS-b-PEO copolymers where PS block is at critical condition.
[220] Grabowsky2011.pdf,,2011,Monika Elvira Grabowsky,,"Department of Chemistry and Polymer Science, Faculty of Science, Stellenbosch University",Poly(ethylene oxide) (PEO),Poly(ethylene oxide) (PEO),Linear,Established using PEO calibration standards where elution is independent of molecular weight,Nucleosil 300 Å,Silica,Normal Phase,300 Å,4.6 x 250 mm,"N,N-dimethylformamide (DMF), Tetrahydrofuran (THF)",4:96,vol.%,,False,,,29.7,0.5 mL/min,UV-Vis and ELSD,explicit,explicit,explicit,The conditions used for the critical conditions of PEO are as follows: a solvent composition of DMF:THF 4:96 vol.% with a flow rate of 0.5 mL/min. ... PEO calibration standards were used to establish the critical conditions.,critical conditions of PEO,Nucleosil 300 Å,DMF:THF,DMF:THF 4:96 vol.%,29.7°C,300 Å,0.5 mL/min,Used for analysis of PS-b-PEO copolymers where PEO block is at critical condition.
[220] Grabowsky2011.pdf,,2011,Prof. Harald Pasch,,"Department of Chemistry and Polymer Science, Stellenbosch University, Stellenbosch, South Africa",polystyrene-block-poly(ethylene oxide),polystyrene,linear,LCCC,Symmetry 300 Å,C18,Reversed Phase,300 Å,4.6 x 250 mm,"THF, DMF",18:82,vol.%,,False,,,30,0.5 mL/min,ELSD,explicit,explicit,explicit,LCCC of PS,PS,"Symmetry 300 Å, 5 µm, 4.6 x 250 mm, Waters, Milford, MA, USA",THF:DMF 18:82 vol.%,18:82,30°C,300 Å,0.5 mL/min,
[220] Grabowsky2011.pdf,,2011,Prof. Harald Pasch,,"Department of Chemistry and Polymer Science, Stellenbosch University, Stellenbosch, South Africa",polystyrene-block-poly(ethylene oxide),poly(ethylene oxide),linear,LCCC,Nucleosil 300 Å,silica,Normal Phase,300 Å,4.6 x 250 mm,"DMF, THF",4:96,vol.%,,False,,,29.7,0.5 mL/min,ELSD,explicit,missed,explicit,LCCC of PEO,PEO,"300Å Nucleosil Si, 4.6 x 250 mm at 29.7°C.",DMF:THF 4:96 vol.%,4:96,29.7°C,300 Å,0.5 mL/min,
[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,2012,Muhammad Imran Malik; Gareth W. Harding; Monika Elvira Grabowsky; Harald Pasch,mimran.malik@iccs.edu,"H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan; Department of Chemistry and Polymer Science, University of Stellenbosch, Stellenbosch, South Africa",Polystyrene,Polystyrene,Linear,Liquid chromatography at critical conditions of PS,Symmetry 300,Silica-based octadecyl phase,Reversed Phase,300 A,250 mm × 4.6 mm,"THF, DMF",18–82,vol.%,,False,,,30,0.5 mL/min,UV (254 nm) and ELSD,explicit,explicit,explicit,Liquid chromatography at the critical conditions of PS,PS,Symmetry 300,THF–DMF,18–82,30[◦] C,300 A[˚],0.5 mL/min,Used for separation of PS-b-PEO block copolymers and quantification of PS homopolymers.
[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,2012,Muhammad Imran Malik; Gareth W. Harding; Monika Elvira Grabowsky; Harald Pasch,mimran.malik@iccs.edu,"H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan; Department of Chemistry and Polymer Science, University of Stellenbosch, Stellenbosch, South Africa",PEO,PEO,linear,Liquid chromatography at critical conditions of PEO,Nucleosil Si 300,silica,Normal Phase,300 A,250 mm × 4.6 mm,"THF, DMF",96–4,vol.%,,False,,,30,0.5 mL/min,UV (254 nm) and ELSD,explicit,explicit,explicit,Liquid chromatography at the critical conditions of PEO,PEO,Nucleosil Si 300,THF–DMF,96–4,30[◦] C,300 A[˚],0.5 mL/min,Used for separation of PS-b-PEO block copolymers and quantification of PEO homopolymers.
[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,2012,Muhammad Imran Malik; Gareth W. Harding; Monika Elvira Grabowsky; Harald Pasch,mimran.malik@iccs.edu,"Department of Chemistry and Polymer Science, University of Stellenbosch, Stellenbosch, South Africa; H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",PS-b-PEO,PS,linear,Liquid chromatography at the critical conditions of PS,Symmetry 300,octadecyl,Reversed Phase,300 A,250 mm × 4.6 mm,"THF, DMF",18–82,%,,False,,,30,0.5 mL/min,ELS,explicit,missed,explicit,Liquid chromatography at the critical conditions of PS,PS,Symmetry 300,THF–DMF,18–82,30[◦] C,300 A[˚],0.5 mL/min,
[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,2012,Muhammad Imran Malik; Gareth W. Harding; Monika Elvira Grabowsky; Harald Pasch,mimran.malik@iccs.edu,"Department of Chemistry and Polymer Science, University of Stellenbosch, Stellenbosch, South Africa; H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",PS-b-PEO,PEO,linear,Liquid chromatography at the critical conditions of PEO,Nucleosil Si 300,silica,Normal Phase,300 A,250 mm × 4.6 mm,"THF, DMF",96–4,%,,False,,,30,0.5 mL/min,ELS,explicit,missed,explicit,Liquid chromatography at the critical conditions of PEO,PEO,Nucleosil Si 300,THF–DMF,96–4,30[◦] C,300 A[˚],0.5 mL/min,
[242] Rappel2003.pdf,,2003,Bernd Trathnigg; Alexei Gorbunov,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, A-8010 Graz, Austria; Institute for Highly Pure Biopreparations, Pudozhskaya 7, 197110 St. Petersburg, Russia",polyethylene glycol,EO,linear,critical interaction point,Prodigy ODS(3),C18,Reversed Phase,100 A,250x4.6 mm,"acetone, water",28 wt.%,%,,False,,,25.0,0.5 ml/min,refractive index (RI),explicit,missed,explicit,a sharp critical interaction point is found for the Prodigy ODS3 column at 28 wt.% acetone,the critical interaction point for the EO-chain,Prodigy ODS(3) column,acetone–water,28 wt.% acetone,25.0 8C,100 A,0.5 ml/min,
[242] Rappel2003.pdf,,2003,Bernd Trathnigg; Alexei Gorbunov,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, A-8010 Graz, Austria; Institute for Highly Pure Biopreparations, Pudozhskaya 7, 197110 St. Petersburg, Russia",polyethylene glycol,EO,linear,critical interaction point,Sphereclone C6,C6,Reversed Phase,80 A,250x4.6 mm,"acetone, water",28.5 wt.%,%,,False,,,25.0,0.5 ml/min,refractive index (RI),explicit,missed,explicit,a sharp critical interaction point is found for the Sphereclone C6 column at 28.5 wt.% acetone,the critical interaction point for the EO-chain,Sphereclone C6 column,acetone–water,28.5 wt.% acetone,25.0 8C,80 A,0.5 ml/min,
[242] Rappel2003.pdf,,2003,Bernd Trathnigg; Alexei Gorbunov,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, A-8010 Graz, Austria; Institute for Highly Pure Biopreparations, Pudozhskaya 7, 197110 St. Petersburg, Russia",polyethylene glycol,EO,linear,critical interaction point,Spherisorb S5X C6,C6,Reversed Phase,300 A,250x4.6 mm,"acetone, water",30 wt.%,%,,False,,,25.0,0.5 ml/min,refractive index (RI),explicit,missed,explicit,a sharp critical interaction point is found for the Spherisorb S5X C6 column at 30 wt.% acetone,the critical interaction point for the EO-chain,Spherisorb S5X C6 column,acetone–water,30 wt.% acetone,25.0 8C,300 A,0.5 ml/min,
[243] Rollet2012.pdf,10.1021/ma301199m,2012,Marion Rollet; Didier Gigmes,didier.gigmes@univ-provence.fr,"Aix-Marseille Univ, CNRS, Institut de Chimie Radicalaire, UMR 7273, Faculté de Saint-Jérôme, avenue Escadrille Normandie-Niemen, service 542, 13397 Marseille cedex 20, France",PEO,poly(ethylene oxide),linear,elution independent of molar mass,Macherey-Nagel 250 mm × 4.6 mm Nucleosil C8 HD,C8,Reversed Phase,100 Å,250 mm x 4.6 mm,"chloroform, methanol, n-heptane","58.05% chloroform, 6.45% methanol, and 35.50% n-heptane",v/v/v,,False,,,30,0.8 mL min⁻¹,Polymer Laboratories PL-ELS2100,explicit,explicit,explicit,"The optimum eluent is a mixture of 58.05% chloroform, 6.45% methanol, and 35.50% n-heptane (v/v/v) using a reverse phase (C8) column.",The earliest practical examples of LCCC were focusing on endgroup separations.,"The following columns were used: Macherey-Nagel 250 mm × 4.6 mm Nucleosil C8 HD, pore diameter of 100 Å, particle size of 3 µm and VWR 250 mm × 4.6 mm Nucleosil C8, pore diameter of 120 Å, particle size of 3 µm.","The mobile phase, a mixture of three organics solvents (58.05 vol % of chloroform, 6.45 vol % of methanol, and 35.50 vol % of n-heptane, SDS HPLC grade), was delivered by a Waters 600 pump at a flow rate of 0.8 mL min⁻¹.","The optimum eluent is a mixture of 58.05% chloroform, 6.45% methanol, and 35.50% n-heptane (v/v/v) using a reverse phase (C8) column.","They were placed in a thermostated Crococil oven (Polymer Laboratories), in which a temperature of 30 °C was maintained for all measurements.","The following columns were used: Macherey-Nagel 250 mm × 4.6 mm Nucleosil C8 HD, pore diameter of 100 Å, particle size of 3 µm and VWR 250 mm × 4.6 mm Nucleosil C8, pore diameter of 120 Å, particle size of 3 µm.","The mobile phase, a mixture of three organics solvents (58.05 vol % of chloroform, 6.45 vol % of methanol, and 35.50 vol % of n-heptane, SDS HPLC grade), was delivered by a Waters 600 pump at a flow rate of 0.8 mL min⁻¹.",Elution mechanism governed by interaction of polar endgroup with residual free silanols. PEO block is invisible in block copolymers.
[243] Rollet2012.pdf,10.1021/ma301199m,2012,Marion Rollet; Didier Gigmes,didier.gigmes@univ-provence.fr,"Aix-Marseille Univ, CNRS, Institut de Chimie Radicalaire, UMR 7273, Faculte de Saint-Jerome, avenue Escadrille Normandie-Niemen, service 542, 13397 Marseille cedex 20, France",polystyrene-b-poly(ethylene oxide)-b-polystyrene,poly(ethylene oxide),triblock,elution independent of molar mass of PEO block,Macherey-Nagel 250 mm x 4.6 mm Nucleosil C8 HD,C8,Reversed Phase,100 Å,250 mm x 4.6 mm,"chloroform, methanol, n-heptane","58.05% chloroform, 6.45% methanol, and 35.50% n-heptane",v/v/v,,False,,,30,0.8 mL min-1,ELSD,explicit,explicit,missed,"In these conditions, the PEO block is then invisible",PEO block is then invisible,Macherey-Nagel 250 mm x 4.6 mm Nucleosil C8 HD,"mixture of three organics solvents (58.05 vol % of chloroform, 6.45 vol % of methanol, and 35.50 vol % of n-heptane","58.05% chloroform, 6.45% methanol, and 35.50% n-heptane (v/v/v)",temperature of 30 °C was maintained for all measurements,pore diameter of 100 Å,flow rate of 0.8 mL min-1,PS blocks elute in SEC mode. Architecture has weak influence on elution volume.
[243] Rollet2012.pdf,10.1021/ma301199m,2012,Marion Rollet; Didier Gigmes,,"Aix-Marseille Univ, CNRS, Institut de Chimie Radicalaire, UMR 7273, Faculté de Saint-Jérôme, avenue Escadrille Normandie-Niemen, service 542, 13397 Marseille cedex 20, France",PEO-b-PS,PS,,critical conditions,Macherey-Nagel 250 mm × 4.6 mm Nucleosil C8 HD,C8,Reversed Phase,100 Å,250 mm × 4.6 mm,"chloroform, methanol, n-heptane","58.05% chloroform, 6.45% methanol, and 35.50% n-heptane",v/v/v,,False,,,30,0.8 mL min⁻¹,Polymer Laboratories PL-ELS2100,explicit,missed,explicit,"The optimum eluent is a mixture of 58.05% chloroform, 6.45% methanol, and 35.50% n-heptane (v/v/v) using a reverse phase (C8) column.","The calibration curve obtained using PS homopolymer standards could be used to determine the whole molar mass of the PS block in block copolymers with PS and PEO segments, with a weak influence of the architecture.","The following columns were used: Macherey-Nagel 250 mm × 4.6 mm Nucleosil C8 HD, pore diameter of 100 Å, particle size of 3 µm and VWR 250 mm × 4.6 mm Nucleosil C8, pore diameter of 120 Å, particle size of 3 µm.","The mobile phase, a mixture of three organics solvents (58.05 vol % of chloroform, 6.45 vol % of methanol, and 35.50 vol % of n-heptane, SDS HPLC grade), was delivered by a Waters 600 pump at a flow rate of 0.8 mL min⁻¹.","The optimum eluent is a mixture of 58.05% chloroform, 6.45% methanol, and 35.50% n-heptane (v/v/v) using a reverse phase (C8) column.","They were placed in a thermostated Crococil oven (Polymer Laboratories), in which a temperature of 30 °C was maintained for all measurements.","The following columns were used: Macherey-Nagel 250 mm × 4.6 mm Nucleosil C8 HD, pore diameter of 100 Å, particle size of 3 µm and VWR 250 mm × 4.6 mm Nucleosil C8, pore diameter of 120 Å, particle size of 3 µm.","The mobile phase, a mixture of three organics solvents (58.05 vol % of chloroform, 6.45 vol % of methanol, and 35.50 vol % of n-heptane, SDS HPLC grade), was delivered by a Waters 600 pump at a flow rate of 0.8 mL min⁻¹.",
[251] Trathnigg2005.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",Poly(propylene oxide),PO block,linear,Critical adsorption point (CAP) for PO,Jordi Gel DVB 500 RP,poly(divinylbenzene),Reversed Phase,500 A,250 x 4.6 mm,"acetone, water",92.42,wt%,,False,,,25.0,0.5 ml/min,RI,explicit,explicit,missed,CAP for PO is found at about 90% acetone,CAP for PO,Jordi Gel DVB 500 RP,acetone water,92.42 wt% acetone,temperature of 25.0 8C was maintained,nominal pore sizeZ500 A,0.5 ml/min,Used for analysis of poloxamers (EO-PO-EO and PO-EO-PO) where EO elutes in SEC mode.
[251] Trathnigg2005.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",Poly(propylene oxide),PO block,linear,Critical adsorption point (CAP) for PO,Discovery HS-PEG,silica-based PEG phase,Reversed Phase,120 A,250 x 4.6 mm,"acetone, water",44.52,wt%,,False,,,25.0,0.5 ml/min,ELSD,explicit,explicit,missed,CAP for PO was found on the Discovery HS-PEG column,CAP for PO,Discovery HS-PEG,acetone water,44.52 wt% acetone,temperature of 25.0 8C was maintained,nominal pore sizeZ 120 A,0.5 ml/min,Used for analysis of poloxamers with shorter PO blocks. EO elutes in SEC mode.
[251] Trathnigg2005.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",Poly(ethylene oxide),EO block,linear,Critical adsorption point (CAP) for EO,Nucleosil 100-5 OH,silica-based Diol phase,Normal Phase,100 A,250 x 4.6 mm,"acetone, water",78.54,wt%,,False,,,25.0,0.5 ml/min,RI,explicit,explicit,missed,CAP for EO exists at 78.54% (w/w) acetone,CAP for EO,Nucleosil 100-5 OH,acetone water,78.54% (w/w) acetone,temperature of 25.0 8C was maintained,nominal pore sizeZ100 A,0.5 ml/min,Used for analysis of poloxamers where PO elutes in SEC mode.
[251] Trathnigg2005.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",EO–PO–EO triblock copolymer,EO,EO–PO–EO triblock,LCCC,Nucleosil 100-5 OH 5 mm,Diol,Normal Phase,100 A[˚],250!4.6 mm,"acetone, water",78.54,% (w/w),,False,,,25.0,0.5 ml/min,RI,explicit,missed,explicit,"Under these conditions, the other (non-critical) block elutes in exclusion mode, which allows an independent determination of the molar mass distribution of the individual blocks.","a separation according to the PO block(s) may be achieved by a SEC or a LAC mechanism, and vice versa.","Nucleosil 100-5 OH 5 mm, silica-based Diol phase; 250! 4.6 mm; particle diameter: 5 mm; nominal pore sizeZ100 A[˚]",acetone water 78:12 (w/w),78.54% (w/w),25.0 8C,nominal pore sizeZ100 A[˚],0.5 ml/min,
[251] Trathnigg2005.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",EO–PO–EO triblock copolymer,PO,EO–PO–EO triblock,LCCC,Jordi Gel DVB 500 RP,poly(divinyl benzene),Reversed Phase,500 A[˚],250!4.6 mm,"acetone, water",92.42,% (w/w),,False,,,25.0,0.5 ml/min,RI,explicit,missed,explicit,"Under these conditions, the other (non-critical) block elutes in exclusion mode, which allows an independent determination of the molar mass distribution of the individual blocks.","a separation according to the PO block(s) may be achieved by a SEC or a LAC mechanism, and vice versa.",Jordi Gel DVB 500 RP: 100% poly(divinylbenzene); 250!4.6 mm; particle diameterZ5 mm; nominal pore sizeZ500 A[˚],acetone water 92:8 (w/w),92.42% (w/w),25.0 8C,nominal pore sizeZ500 A[˚],0.5 ml/min,
[251] Trathnigg2005.pdf,10.1016/j.polymer.2005.07.048,2005,Bernd Trathnigg,bernd.trathnigg@uni-graz.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria",EO–PO–EO triblock copolymer,PO,EO–PO–EO triblock,LCCC,Discovery HS-PEG,silica-based PEG phase,Normal Phase,120 A[˚],250!4.6 mm,"acetone, water",45.58,% (w/w),,False,,,25.0,0.5 ml/min,RI,explicit,missed,explicit,"Under these conditions, the other (non-critical) block elutes in exclusion mode, which allows an independent determination of the molar mass distribution of the individual blocks.","a separation according to the PO block(s) may be achieved by a SEC or a LAC mechanism, and vice versa.","Discovery HS-PEG, silica-based PEG phase; 250! 4.6 mm; particle diameterZ5 mm; nominal pore sizeZ 120 A[˚]",acetone water 45:55 (w/w),45.58% (w/w),25.0 8C,nominal pore sizeZ 120 A[˚],0.5 ml/min,
[262] Girod2008.pdf,10.1002/rcm.3796,2008,Laurence Charles,laurence.charles@univ-provence.fr,"Universite´s Aix-Marseille I, II & III – CNRS, UMR 6264: Laboratoire Chimie Provence, Spectrome´tries Applique´es a` la Chimie Structurale, F-13397 Marseille Cedex 20, France",poly(ethylene oxide),poly(ethylene oxide),linear,elution volume independent of molecular mass,octadecyl-silica Equisil,octadecyl-silica,Reversed Phase,100 A,150 x 4 mm,"MeOH, water",88.8:11.2,% v/v,,True,LiCl,1 mM,25,1 mL/min,ESI-MS,explicit,explicit,explicit,critical conditions,poly(ethylene oxide),octadecyl-silica Equisil,MeOH/water,88.8:11.2 (% v/v),25 8C,100 A,1 mL/min,Critical conditions established for PEG standards to be used for PEO block in copolymer analysis.
